,position,well,volume,xpos,ypos,field,XY,DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Teg,Plate,Well,Target,Field,XPos,YPos,Date,Time,ImageFile,Background,EjBound,SedBound,DetDiaMinTrans,DetDiaMaxTrans,IsoDiaMinTrans,IsoDiaMaxTrans,IsoIntMinTrans,IsoIntMaxTrans,IsoDiaMinFlu,IsoDiaMaxFlu,IsoIntMinFlu,IsoIntMaxFlu,CellType,CellSortFile,PickupXpos,PickupYpos,PickupWell,PickupPlate,DevX,DevY,RawFileName,MSAquisDateTime,Channel
10,17/7,"1G13,","20000,",7.0,17.0,1.0,1_7_17,225.0,244.49,60.04,20.92,1.67,1.06,83.19,Transmission,1.0,A-1,1.0,1.0,7.0,17.0,08/06/2024,19:26:02,"=HYPERLINK(""225_Printed_T1_F1_R17_C7_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,1.0,6.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.17
11,17/11,"1G14,","20000,",11.0,17.0,1.0,1_11_17,467.0,277.11,105.59,20.53,1.93,1.11,87.17,Transmission,1.0,A-1,1.0,1.0,11.0,17.0,08/06/2024,19:26:45,"=HYPERLINK(""467_Printed_T1_F1_R17_C11_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,5.0,6.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.18
12,8/21,"1G14,","20000,",21.0,8.0,1.0,1_21_8,1545.0,224.78,87.23,19.79,1.41,1.03,75.97,Transmission,1.0,A-1,1.0,1.0,21.0,8.0,08/06/2024,19:03:52,"=HYPERLINK(""1545_Printed_T1_F1_R8_C21_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,-3.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.18
13,8/25,"1G1,","20000,",25.0,8.0,1.0,1_25_8,1928.0,207.22,51.64,19.09,1.96,1.11,93.14,Transmission,1.0,A-1,1.0,1.0,25.0,8.0,08/06/2024,19:04:51,"=HYPERLINK(""1928_Printed_T1_F1_R8_C25_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,1.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.5
14,8/29,"1G2,","20000,",29.0,8.0,1.0,1_29_8,2487.0,312.51,106.91,20.35,1.58,1.05,84.07,Transmission,1.0,A-1,1.0,1.0,29.0,8.0,08/06/2024,19:06:16,"=HYPERLINK(""2487_Printed_T1_F1_R8_C29_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,5.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.6
15,8/39,"1G13,","20000,",39.0,8.0,1.0,1_39_8,3327.0,225.37,60.8,16.9,1.63,1.06,73.68,Transmission,1.0,A-1,1.0,1.0,39.0,8.0,08/06/2024,19:08:19,"=HYPERLINK(""3327_Printed_T1_F1_R8_C39_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,15.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.17
16,8/43,"1G14,","20000,",43.0,8.0,1.0,1_43_8,3758.0,265.81,105.88,21.08,1.53,1.04,81.81,Transmission,1.0,A-1,1.0,1.0,43.0,8.0,08/06/2024,19:09:23,"=HYPERLINK(""3758_Printed_T1_F1_R8_C43_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,19.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.18
17,8/47,"1G1,","20000,",47.0,8.0,1.0,1_47_8,4421.0,204.54,94.25,21.76,1.47,1.04,80.86,Transmission,1.0,A-1,1.0,1.0,47.0,8.0,08/06/2024,19:11:02,"=HYPERLINK(""4421_Printed_T1_F1_R8_C47_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,23.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.5
18,8/57,"1G12,","20000,",57.0,8.0,1.0,1_57_8,5301.0,233.74,79.42,18.21,1.46,1.04,77.88,Transmission,1.0,A-1,1.0,1.0,57.0,8.0,08/06/2024,19:13:13,"=HYPERLINK(""5301_Printed_T1_F1_R8_C57_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,33.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.16
19,8/61,"1G13,","20000,",61.0,8.0,1.0,1_61_8,5643.0,193.43,96.03,19.12,1.71,1.07,82.69,Transmission,1.0,A-1,1.0,1.0,61.0,8.0,08/06/2024,19:14:07,"=HYPERLINK(""5643_Printed_T1_F1_R8_C61_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,37.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.17
